seed,load_condition,submission_time_scale,cluster_shape,node_count,cpus_per_node,total_cpus,policy,jobs_completed,average_wait,median_wait,p95_wait,average_turnaround,throughput,cpu_utilization_percent
1,light,4,1x32,1,32,32,fcfs,200,0.000000,0.000000,0,11.035000,0.161160,19.908340
1,light,4,1x32,1,32,32,sjf,200,0.000000,0.000000,0,11.035000,0.161160,19.908340
1,light,4,1x32,1,32,32,backfill,200,0.000000,0.000000,0,11.035000,0.161160,19.908340
1,light,4,2x16,2,16,32,fcfs,200,0.000000,0.000000,0,11.035000,0.161160,19.908340
1,light,4,2x16,2,16,32,sjf,200,0.000000,0.000000,0,11.035000,0.161160,19.908340
1,light,4,2x16,2,16,32,backfill,200,0.000000,0.000000,0,11.035000,0.161160,19.908340
1,light,4,4x8,4,8,32,fcfs,200,0.000000,0.000000,0,11.035000,0.161160,19.908340
1,light,4,4x8,4,8,32,sjf,200,0.000000,0.000000,0,11.035000,0.161160,19.908340
1,light,4,4x8,4,8,32,backfill,200,0.000000,0.000000,0,11.035000,0.161160,19.908340
1,moderate,2,1x32,1,32,32,fcfs,200,0.025000,0.000000,0,11.060000,0.317965,39.278617
1,moderate,2,1x32,1,32,32,sjf,200,0.025000,0.000000,0,11.060000,0.317965,39.278617
1,moderate,2,1x32,1,32,32,backfill,200,0.020000,0.000000,0,11.055000,0.317965,39.278617
1,moderate,2,2x16,2,16,32,fcfs,200,0.025000,0.000000,0,11.060000,0.317965,39.278617
1,moderate,2,2x16,2,16,32,sjf,200,0.025000,0.000000,0,11.060000,0.317965,39.278617
1,moderate,2,2x16,2,16,32,backfill,200,0.020000,0.000000,0,11.055000,0.317965,39.278617
1,moderate,2,4x8,4,8,32,fcfs,200,0.025000,0.000000,0,11.060000,0.317965,39.278617
1,moderate,2,4x8,4,8,32,sjf,200,0.025000,0.000000,0,11.060000,0.317965,39.278617
1,moderate,2,4x8,4,8,32,backfill,200,0.020000,0.000000,0,11.055000,0.317965,39.278617
1,heavy,1,1x32,1,32,32,fcfs,200,2.130000,0.000000,8,13.165000,0.609756,75.323933
1,heavy,1,1x32,1,32,32,sjf,200,1.690000,0.000000,8,12.725000,0.619195,76.489938
1,heavy,1,1x32,1,32,32,backfill,200,1.380000,0.000000,8,12.415000,0.617284,76.253858
1,heavy,1,2x16,2,16,32,fcfs,200,3.335000,2.000000,11,14.370000,0.607903,75.094985
1,heavy,1,2x16,2,16,32,sjf,200,1.960000,0.000000,9,12.995000,0.617284,76.253858
1,heavy,1,2x16,2,16,32,backfill,200,1.395000,0.000000,9,12.430000,0.617284,76.253858
1,heavy,1,4x8,4,8,32,fcfs,200,4.660000,4.000000,13,15.695000,0.607903,75.094985
1,heavy,1,4x8,4,8,32,sjf,200,2.980000,0.000000,13,14.015000,0.615385,76.019231
1,heavy,1,4x8,4,8,32,backfill,200,1.810000,0.000000,10,12.845000,0.611621,75.554281
2,light,4,1x32,1,32,32,fcfs,200,0.000000,0.000000,0,10.730000,0.178253,23.493204
2,light,4,1x32,1,32,32,sjf,200,0.000000,0.000000,0,10.730000,0.178253,23.493204
2,light,4,1x32,1,32,32,backfill,200,0.000000,0.000000,0,10.730000,0.178253,23.493204
2,light,4,2x16,2,16,32,fcfs,200,0.000000,0.000000,0,10.730000,0.178253,23.493204
2,light,4,2x16,2,16,32,sjf,200,0.000000,0.000000,0,10.730000,0.178253,23.493204
2,light,4,2x16,2,16,32,backfill,200,0.000000,0.000000,0,10.730000,0.178253,23.493204
2,light,4,4x8,4,8,32,fcfs,200,0.000000,0.000000,0,10.730000,0.178253,23.493204
2,light,4,4x8,4,8,32,sjf,200,0.000000,0.000000,0,10.730000,0.178253,23.493204
2,light,4,4x8,4,8,32,backfill,200,0.000000,0.000000,0,10.730000,0.178253,23.493204
2,moderate,2,1x32,1,32,32,fcfs,200,0.065000,0.000000,0,10.795000,0.352113,46.407350
2,moderate,2,1x32,1,32,32,sjf,200,0.065000,0.000000,0,10.795000,0.352113,46.407350
2,moderate,2,1x32,1,32,32,backfill,200,0.065000,0.000000,0,10.795000,0.352113,46.407350
2,moderate,2,2x16,2,16,32,fcfs,200,0.085000,0.000000,0,10.815000,0.352113,46.407350
2,moderate,2,2x16,2,16,32,sjf,200,0.085000,0.000000,0,10.815000,0.352113,46.407350
2,moderate,2,2x16,2,16,32,backfill,200,0.085000,0.000000,0,10.815000,0.352113,46.407350
2,moderate,2,4x8,4,8,32,fcfs,200,0.090000,0.000000,0,10.820000,0.352113,46.407350
2,moderate,2,4x8,4,8,32,sjf,200,0.090000,0.000000,0,10.820000,0.352113,46.407350
2,moderate,2,4x8,4,8,32,backfill,200,0.090000,0.000000,0,10.820000,0.352113,46.407350
2,heavy,1,1x32,1,32,32,fcfs,200,11.815000,11.000000,24,22.545000,0.653595,86.141748
2,heavy,1,1x32,1,32,32,sjf,200,5.265000,2.000000,19,15.995000,0.662252,87.282699
2,heavy,1,1x32,1,32,32,backfill,200,5.040000,2.000000,18,15.770000,0.682594,89.963737
2,heavy,1,2x16,2,16,32,fcfs,200,16.640000,16.000000,33,27.370000,0.632911,83.415744
2,heavy,1,2x16,2,16,32,sjf,200,8.595000,2.000000,42,19.325000,0.619195,81.607972
2,heavy,1,2x16,2,16,32,backfill,200,7.450000,3.000000,25,18.180000,0.664452,87.572674
2,heavy,1,4x8,4,8,32,fcfs,200,25.040000,24.000000,47,35.770000,0.604230,79.635574
2,heavy,1,4x8,4,8,32,sjf,200,10.350000,2.000000,44,21.080000,0.604230,79.635574
2,heavy,1,4x8,4,8,32,backfill,200,9.050000,4.000000,29,19.780000,0.660066,86.994637
3,light,4,1x32,1,32,32,fcfs,200,0.065000,0.000000,0,10.575000,0.171086,22.251925
3,light,4,1x32,1,32,32,sjf,200,0.065000,0.000000,0,10.575000,0.171086,22.251925
3,light,4,1x32,1,32,32,backfill,200,0.065000,0.000000,0,10.575000,0.171086,22.251925
3,light,4,2x16,2,16,32,fcfs,200,0.115000,0.000000,0,10.625000,0.171086,22.251925
3,light,4,2x16,2,16,32,sjf,200,0.100000,0.000000,0,10.610000,0.171086,22.251925
3,light,4,2x16,2,16,32,backfill,200,0.100000,0.000000,0,10.610000,0.171086,22.251925
3,light,4,4x8,4,8,32,fcfs,200,0.115000,0.000000,0,10.625000,0.171086,22.251925
3,light,4,4x8,4,8,32,sjf,200,0.100000,0.000000,0,10.610000,0.171086,22.251925
3,light,4,4x8,4,8,32,backfill,200,0.100000,0.000000,0,10.610000,0.171086,22.251925
3,moderate,2,1x32,1,32,32,fcfs,200,0.335000,0.000000,2,10.845000,0.338409,44.014382
3,moderate,2,1x32,1,32,32,sjf,200,0.325000,0.000000,2,10.835000,0.338409,44.014382
3,moderate,2,1x32,1,32,32,backfill,200,0.290000,0.000000,1,10.800000,0.338409,44.014382
3,moderate,2,2x16,2,16,32,fcfs,200,0.450000,0.000000,2,10.960000,0.338409,44.014382
3,moderate,2,2x16,2,16,32,sjf,200,0.340000,0.000000,2,10.850000,0.338409,44.014382
3,moderate,2,2x16,2,16,32,backfill,200,0.290000,0.000000,1,10.800000,0.338409,44.014382
3,moderate,2,4x8,4,8,32,fcfs,200,0.450000,0.000000,2,10.960000,0.338409,44.014382
3,moderate,2,4x8,4,8,32,sjf,200,0.340000,0.000000,2,10.850000,0.338409,44.014382
3,moderate,2,4x8,4,8,32,backfill,200,0.290000,0.000000,1,10.800000,0.338409,44.014382
3,heavy,1,1x32,1,32,32,fcfs,200,4.825000,4.000000,12,15.335000,0.651466,84.731270
3,heavy,1,1x32,1,32,32,sjf,200,3.030000,1.000000,14,13.540000,0.660066,85.849835
3,heavy,1,1x32,1,32,32,backfill,200,2.345000,0.000000,12,12.855000,0.653595,85.008170
3,heavy,1,2x16,2,16,32,fcfs,200,10.980000,11.000000,19,21.490000,0.634921,82.579365
3,heavy,1,2x16,2,16,32,sjf,200,3.435000,1.000000,14,13.945000,0.655738,85.286885
3,heavy,1,2x16,2,16,32,backfill,200,2.820000,0.000000,15,13.330000,0.653595,85.008170
3,heavy,1,4x8,4,8,32,fcfs,200,14.555000,16.000000,27,25.065000,0.615385,80.038462
3,heavy,1,4x8,4,8,32,sjf,200,5.885000,3.000000,20,16.395000,0.636943,82.842357
3,heavy,1,4x8,4,8,32,backfill,200,3.330000,1.000000,16,13.840000,0.653595,85.008170
4,light,4,1x32,1,32,32,fcfs,200,0.000000,0.000000,0,10.400000,0.172712,19.734996
4,light,4,1x32,1,32,32,sjf,200,0.000000,0.000000,0,10.400000,0.172712,19.734996
4,light,4,1x32,1,32,32,backfill,200,0.000000,0.000000,0,10.400000,0.172712,19.734996
4,light,4,2x16,2,16,32,fcfs,200,0.000000,0.000000,0,10.400000,0.172712,19.734996
4,light,4,2x16,2,16,32,sjf,200,0.000000,0.000000,0,10.400000,0.172712,19.734996
4,light,4,2x16,2,16,32,backfill,200,0.000000,0.000000,0,10.400000,0.172712,19.734996
4,light,4,4x8,4,8,32,fcfs,200,0.000000,0.000000,0,10.400000,0.172712,19.734996
4,light,4,4x8,4,8,32,sjf,200,0.000000,0.000000,0,10.400000,0.172712,19.734996
4,light,4,4x8,4,8,32,backfill,200,0.000000,0.000000,0,10.400000,0.172712,19.734996
4,moderate,2,1x32,1,32,32,fcfs,200,0.005000,0.000000,0,10.405000,0.343643,39.266538
4,moderate,2,1x32,1,32,32,sjf,200,0.005000,0.000000,0,10.405000,0.343643,39.266538
4,moderate,2,1x32,1,32,32,backfill,200,0.005000,0.000000,0,10.405000,0.343643,39.266538
4,moderate,2,2x16,2,16,32,fcfs,200,0.010000,0.000000,0,10.410000,0.343643,39.266538
4,moderate,2,2x16,2,16,32,sjf,200,0.010000,0.000000,0,10.410000,0.343643,39.266538
4,moderate,2,2x16,2,16,32,backfill,200,0.010000,0.000000,0,10.410000,0.343643,39.266538
4,moderate,2,4x8,4,8,32,fcfs,200,0.010000,0.000000,0,10.410000,0.343643,39.266538
4,moderate,2,4x8,4,8,32,sjf,200,0.010000,0.000000,0,10.410000,0.343643,39.266538
4,moderate,2,4x8,4,8,32,backfill,200,0.010000,0.000000,0,10.410000,0.343643,39.266538
4,heavy,1,1x32,1,32,32,fcfs,200,1.625000,0.000000,7,12.025000,0.662252,75.672599
4,heavy,1,1x32,1,32,32,sjf,200,1.140000,0.000000,5,11.540000,0.662252,75.672599
4,heavy,1,1x32,1,32,32,backfill,200,0.870000,0.000000,4,11.270000,0.662252,75.672599
4,heavy,1,2x16,2,16,32,fcfs,200,2.670000,2.000000,9,13.070000,0.660066,75.422855
4,heavy,1,2x16,2,16,32,sjf,200,1.295000,0.000000,7,11.695000,0.657895,75.174753
