load_condition,submission_time_scale,cluster_shape,node_count,cpus_per_node,total_cpus,policy,seed_count,jobs_completed_mean,jobs_completed_std,average_wait_mean,average_wait_std,median_wait_mean,median_wait_std,p95_wait_mean,p95_wait_std,average_turnaround_mean,average_turnaround_std,throughput_mean,throughput_std,cpu_utilization_percent_mean,cpu_utilization_percent_std
light,4,1x32,1,32,32,fcfs,10,200.000000,0.000000,0.017500,0.034014,0.000000,0.000000,0.000000,0.000000,10.588000,0.262903,0.169130,0.008497,20.850022,1.456063
light,4,1x32,1,32,32,sjf,10,200.000000,0.000000,0.017500,0.034014,0.000000,0.000000,0.000000,0.000000,10.588000,0.262903,0.169130,0.008497,20.850022,1.456063
light,4,1x32,1,32,32,backfill,10,200.000000,0.000000,0.017500,0.034014,0.000000,0.000000,0.000000,0.000000,10.588000,0.262903,0.169130,0.008497,20.850022,1.456063
light,4,2x16,2,16,32,fcfs,10,200.000000,0.000000,0.023000,0.043919,0.000000,0.000000,0.000000,0.000000,10.593500,0.263503,0.169130,0.008497,20.850022,1.456063
light,4,2x16,2,16,32,sjf,10,200.000000,0.000000,0.021500,0.040555,0.000000,0.000000,0.000000,0.000000,10.592000,0.263346,0.169130,0.008497,20.850022,1.456063
light,4,2x16,2,16,32,backfill,10,200.000000,0.000000,0.021500,0.040555,0.000000,0.000000,0.000000,0.000000,10.592000,0.263346,0.169130,0.008497,20.850022,1.456063
light,4,4x8,4,8,32,fcfs,10,200.000000,0.000000,0.025000,0.043205,0.000000,0.000000,0.000000,0.000000,10.595500,0.263970,0.169130,0.008497,20.850022,1.456063
light,4,4x8,4,8,32,sjf,10,200.000000,0.000000,0.023500,0.039864,0.000000,0.000000,0.000000,0.000000,10.594000,0.263827,0.169130,0.008497,20.850022,1.456063
light,4,4x8,4,8,32,backfill,10,200.000000,0.000000,0.023500,0.039864,0.000000,0.000000,0.000000,0.000000,10.594000,0.263827,0.169130,0.008497,20.850022,1.456063
moderate,2,1x32,1,32,32,fcfs,10,200.000000,0.000000,0.168000,0.178531,0.000000,0.000000,1.100000,1.663330,10.738500,0.331814,0.334341,0.016518,41.216969,2.854402
moderate,2,1x32,1,32,32,sjf,10,200.000000,0.000000,0.159500,0.175396,0.000000,0.000000,0.900000,1.523884,10.730000,0.323994,0.334341,0.016518,41.216969,2.854402
moderate,2,1x32,1,32,32,backfill,10,200.000000,0.000000,0.133500,0.140338,0.000000,0.000000,0.600000,1.074968,10.704000,0.308849,0.334341,0.016518,41.216969,2.854402
moderate,2,2x16,2,16,32,fcfs,10,200.000000,0.000000,0.195500,0.205919,0.000000,0.000000,1.200000,1.619328,10.766000,0.348766,0.334341,0.016518,41.216969,2.854402
moderate,2,2x16,2,16,32,sjf,10,200.000000,0.000000,0.176000,0.185993,0.000000,0.000000,1.100000,1.728840,10.746500,0.331655,0.334341,0.016518,41.216969,2.854402
moderate,2,2x16,2,16,32,backfill,10,200.000000,0.000000,0.152500,0.162074,0.000000,0.000000,0.700000,1.251666,10.723000,0.327823,0.334341,0.016518,41.216969,2.854402
moderate,2,4x8,4,8,32,fcfs,10,200.000000,0.000000,0.223500,0.227889,0.000000,0.000000,1.500000,1.840894,10.794000,0.357101,0.334292,0.016587,41.211019,2.861861
moderate,2,4x8,4,8,32,sjf,10,200.000000,0.000000,0.193500,0.192744,0.000000,0.000000,1.100000,1.728840,10.764000,0.336921,0.334292,0.016587,41.211019,2.861861
moderate,2,4x8,4,8,32,backfill,10,200.000000,0.000000,0.170500,0.177082,0.000000,0.000000,0.800000,1.619328,10.741000,0.339459,0.334292,0.016587,41.211019,2.861861
heavy,1,1x32,1,32,32,fcfs,10,200.000000,0.000000,4.652500,3.452297,2.700000,3.560587,14.500000,6.980131,15.223000,3.522356,0.639632,0.027363,78.850592,5.030684
heavy,1,1x32,1,32,32,sjf,10,200.000000,0.000000,2.708500,1.646358,0.600000,0.843274,11.200000,5.902918,13.279000,1.714843,0.641514,0.030035,79.091740,5.433910
heavy,1,1x32,1,32,32,backfill,10,200.000000,0.000000,2.360500,1.499538,0.200000,0.632456,11.800000,5.959120,12.931000,1.572641,0.645473,0.031010,79.584279,5.627993
heavy,1,2x16,2,16,32,fcfs,10,200.000000,0.000000,7.236500,5.559209,5.650000,5.972390,18.500000,9.640770,17.807000,5.610796,0.631182,0.024617,77.778285,4.154996
heavy,1,2x16,2,16,32,sjf,10,200.000000,0.000000,3.940500,2.963912,0.700000,0.823273,18.800000,15.824032,14.511000,3.012736,0.630217,0.027323,77.665898,4.549815
heavy,1,2x16,2,16,32,backfill,10,200.000000,0.000000,2.902000,2.231631,0.400000,0.966092,14.300000,8.287206,13.472500,2.290207,0.641337,0.028121,79.069571,5.268021
heavy,1,4x8,4,8,32,fcfs,10,200.000000,0.000000,10.773000,8.112040,9.600000,8.909421,23.900000,13.160969,21.343500,8.152201,0.618892,0.024242,76.229457,3.281323
heavy,1,4x8,4,8,32,sjf,10,200.000000,0.000000,4.918000,3.262679,1.200000,1.229273,20.800000,14.006348,15.488500,3.337795,0.627727,0.030650,77.310046,3.856090
heavy,1,4x8,4,8,32,backfill,10,200.000000,0.000000,3.474000,2.488160,0.600000,1.264911,17.200000,8.469553,14.044500,2.555737,0.640774,0.028750,78.992258,5.179754
