seed,load_condition,submission_time_scale,policy,jobs_completed,average_wait,median_wait,p95_wait,average_turnaround,throughput,cpu_utilization_percent
1,light,8,fcfs,200,4.570000,0.000000,22,15.605000,0.080939,39.993930
1,light,8,sjf,200,3.990000,0.000000,19,15.025000,0.080939,39.993930
1,light,8,backfill,200,3.435000,0.000000,17,14.470000,0.080939,39.993930
1,moderate,4,fcfs,200,61.710000,59.500000,132,72.745000,0.147275,72.772459
1,moderate,4,sjf,200,22.715000,6.500000,114,33.750000,0.149142,73.695004
1,moderate,4,backfill,200,19.415000,12.000000,61,30.450000,0.159236,78.682325
1,heavy,2,fcfs,200,314.375000,295.500000,649,325.410000,0.154919,76.549187
1,heavy,2,sjf,200,169.310000,14.000000,766,180.345000,0.160901,79.505229
1,heavy,2,backfill,200,151.590000,6.000000,525,162.625000,0.174520,86.234729
2,light,8,fcfs,200,4.330000,0.000000,21,15.060000,0.089686,47.281390
2,light,8,sjf,200,3.705000,0.000000,21,14.435000,0.089686,47.281390
2,light,8,backfill,200,3.790000,0.000000,20,14.520000,0.089686,47.281390
2,moderate,4,fcfs,200,124.485000,107.500000,253,135.215000,0.147275,77.641753
2,moderate,4,sjf,200,50.815000,7.500000,302,61.545000,0.153610,80.981183
2,moderate,4,backfill,200,50.740000,32.000000,146,61.470000,0.167785,88.454279
2,heavy,2,fcfs,200,378.075000,331.500000,743,388.805000,0.149701,78.920284
2,heavy,2,sjf,200,215.890000,15.000000,912,226.620000,0.155280,81.861413
2,heavy,2,backfill,200,209.670000,277.000000,556,220.400000,0.180832,95.332278
3,light,8,fcfs,200,5.995000,0.000000,32,16.505000,0.086022,44.752688
3,light,8,sjf,200,4.370000,0.000000,19,14.880000,0.086022,44.752688
3,light,8,backfill,200,4.120000,0.000000,20,14.630000,0.086022,44.752688
3,moderate,4,fcfs,200,98.510000,101.000000,158,109.020000,0.152905,79.548930
3,moderate,4,sjf,200,55.380000,10.000000,350,65.890000,0.153610,79.915515
3,moderate,4,backfill,200,27.620000,24.000000,72,38.130000,0.169205,88.028765
3,heavy,2,fcfs,200,390.420000,397.500000,709,400.930000,0.152905,79.548930
3,heavy,2,sjf,200,228.655000,13.500000,933,239.165000,0.157233,81.800314
3,heavy,2,backfill,200,151.840000,46.000000,551,162.350000,0.184332,95.898618
4,light,8,fcfs,200,2.845000,0.000000,20,13.245000,0.086430,39.504105
4,light,8,sjf,200,2.105000,0.000000,14,12.505000,0.086430,39.504105
4,light,8,backfill,200,1.820000,0.000000,13,12.220000,0.086430,39.504105
4,moderate,4,fcfs,200,66.495000,87.000000,111,76.895000,0.159109,72.722753
4,moderate,4,sjf,200,28.320000,7.000000,123,38.720000,0.161943,74.018219
4,moderate,4,backfill,200,17.120000,9.000000,57,27.520000,0.170503,77.930520
4,heavy,2,fcfs,200,308.985000,329.500000,597,319.385000,0.168492,77.011373
4,heavy,2,sjf,200,182.675000,10.000000,776,193.075000,0.174216,79.627613
4,heavy,2,backfill,200,99.320000,50.500000,456,109.720000,0.208768,95.420146
5,light,8,fcfs,200,3.410000,0.000000,18,13.890000,0.079114,38.380142
5,light,8,sjf,200,2.710000,0.000000,16,13.190000,0.079114,38.380142
5,light,8,backfill,200,2.960000,0.000000,18,13.440000,0.079114,38.380142
5,moderate,4,fcfs,200,46.750000,36.500000,135,57.230000,0.140252,68.039972
5,moderate,4,sjf,200,19.915000,4.000000,74,30.395000,0.144509,70.104769
5,moderate,4,backfill,200,21.610000,7.000000,75,32.090000,0.148810,72.191220
5,heavy,2,fcfs,200,242.475000,222.000000,576,252.955000,0.158353,76.821061
5,heavy,2,sjf,200,131.910000,11.000000,628,142.390000,0.168634,81.808600
5,heavy,2,backfill,200,114.415000,17.000000,347,124.895000,0.187793,91.103286
6,light,8,fcfs,200,4.495000,0.000000,23,15.135000,0.087681,42.004603
6,light,8,sjf,200,3.370000,0.000000,18,14.010000,0.087681,42.004603
6,light,8,backfill,200,3.985000,0.000000,19,14.625000,0.087681,42.004603
6,moderate,4,fcfs,200,64.425000,66.000000,102,75.065000,0.164204,78.663793
6,moderate,4,sjf,200,43.290000,9.500000,175,53.930000,0.165700,79.380696
6,moderate,4,backfill,200,23.245000,12.000000,94,33.885000,0.170940,81.891026
6,heavy,2,fcfs,200,339.825000,348.000000,585,350.465000,0.165017,79.053218
6,heavy,2,sjf,200,200.370000,13.500000,822,211.010000,0.176523,84.565313
6,heavy,2,backfill,200,166.625000,174.500000,468,177.265000,0.200602,96.100802
7,light,8,fcfs,200,7.655000,0.000000,33,18.095000,0.091912,44.157858
7,light,8,sjf,200,5.450000,0.000000,28,15.890000,0.091996,44.198482
7,light,8,backfill,200,5.500000,0.000000,26,15.940000,0.092039,44.218822
7,moderate,4,fcfs,200,132.095000,143.500000,227,142.535000,0.153728,73.856649
7,moderate,4,sjf,200,57.320000,10.000000,408,67.760000,0.164609,79.084362
7,moderate,4,backfill,200,38.075000,16.000000,134,48.515000,0.171380,82.337189
7,heavy,2,fcfs,200,385.525000,452.000000,674,395.965000,0.155521,74.718118
7,heavy,2,sjf,200,226.100000,12.000000,934,236.540000,0.159490,76.624801
7,heavy,2,backfill,200,187.360000,246.500000,429,197.800000,0.198216,95.230426
8,light,8,fcfs,200,4.860000,0.000000,25,15.530000,0.081533,40.307786
8,light,8,sjf,200,4.035000,0.000000,21,14.705000,0.081533,40.307786
8,light,8,backfill,200,4.125000,0.000000,20,14.795000,0.081533,40.307786
8,moderate,4,fcfs,200,50.145000,42.500000,107,60.815000,0.151400,74.848600
8,moderate,4,sjf,200,29.595000,8.000000,145,40.265000,0.152905,75.592508
8,moderate,4,backfill,200,26.385000,14.500000,85,37.055000,0.159490,78.847687
8,heavy,2,fcfs,200,309.675000,275.000000,613,320.345000,0.159109,78.659507
8,heavy,2,sjf,200,187.900000,16.000000,835,198.570000,0.163132,80.648450
8,heavy,2,backfill,200,125.555000,37.000000,474,136.225000,0.190476,94.166667
9,light,8,fcfs,200,5.130000,0.000000,24,15.165000,0.085543,38.959581
9,light,8,sjf,200,4.430000,0.000000,22,14.465000,0.085543,38.959581
9,light,8,backfill,200,3.990000,0.000000,21,14.025000,0.085543,38.959581
9,moderate,4,fcfs,200,47.740000,55.500000,109,57.775000,0.154440,70.337838
9,moderate,4,sjf,200,18.810000,6.000000,106,28.845000,0.159872,72.811751
9,moderate,4,backfill,200,17.790000,7.000000,59,27.825000,0.164204,74.784483
9,heavy,2,fcfs,200,279.450000,280.500000,577,289.485000,0.163532,74.478741
9,heavy,2,sjf,200,154.825000,10.500000,830,164.860000,0.175131,79.761384
9,heavy,2,backfill,200,109.320000,33.000000,360,119.355000,0.206398,94.001548
10,light,8,fcfs,200,9.710000,0.000000,49,20.475000,0.080580,43.538477
10,light,8,sjf,200,5.560000,0.000000,24,16.325000,0.080580,43.538477
10,light,8,backfill,200,7.405000,0.000000,42,18.170000,0.080580,43.538477
10,moderate,4,fcfs,200,115.920000,80.000000,228,126.685000,0.138985,75.095552
10,moderate,4,sjf,200,30.940000,9.500000,124,41.705000,0.150376,81.250000
10,moderate,4,backfill,200,31.580000,14.500000,148,42.345000,0.157233,84.954796
10,heavy,2,fcfs,200,421.365000,399.000000,769,432.130000,0.139665,75.462640
10,heavy,2,sjf,200,215.760000,16.500000,894,226.525000,0.153374,82.870015
10,heavy,2,backfill,200,154.545000,40.000000,509,165.310000,0.177936,96.141014
